link_id,from_node_id,to_node_id,facility_type,dir_flag,length,lanes,capacity,free_speed,link_type_name,link_type,cost,geometry,macro_node_id,macro_link_id,meso_link_id,cell_type,additional_cost,mvmt_txt_id
27800,12140,12141,,1,7,1,1800,60,,1,,"LINESTRING (-112.1013646 33.6399944, -112.1012892 33.6399949)",,22,21,1,0,
27998,12140,12340,,1,7.82,1,1800,60,,1,,"LINESTRING (-112.1013646 33.6399944, -112.1012889 33.6399634)",,22,21,2,0,
28197,12141,11943,,1,7.82,1,1800,60,,1,,"LINESTRING (-112.1012892 33.6399949, -112.1012140 33.6400270)",,22,21,2,0,
27801,12141,12142,,1,7,1,1800,60,,1,,"LINESTRING (-112.1012892 33.6399949, -112.1012137 33.6399955)",,22,21,1,0,
27999,12141,12341,,1,7.82,1,1800,60,,1,,"LINESTRING (-112.1012892 33.6399949, -112.1012134 33.6399639)",,22,21,2,0,
28198,12142,11944,,1,7.82,1,1800,60,,1,,"LINESTRING (-112.1012137 33.6399955, -112.1011386 33.6400276)",,22,21,2,0,
27802,12142,12143,,1,7,1,1800,60,,1,,"LINESTRING (-112.1012137 33.6399955, -112.1011382 33.6399960)",,22,21,1,0,
28000,12142,12342,,1,7.82,1,1800,60,,1,,"LINESTRING (-112.1012137 33.6399955, -112.1011379 33.6399644)",,22,21,2,0,
28199,12143,11945,,1,7.82,1,1800,60,,1,,"LINESTRING (-112.1011382 33.6399960, -112.1010631 33.6400281)",,22,21,2,0,
27803,12143,12144,,1,7,1,1800,60,,1,,"LINESTRING (-112.1011382 33.6399960, -112.1010628 33.6399965)",,22,21,1,0,
28001,12143,12343,,1,7.82,1,1800,60,,1,,"LINESTRING (-112.1011382 33.6399960, -112.1010625 33.6399649)",,22,21,2,0,
28200,12144,11946,,1,7.82,1,1800,60,,1,,"LINESTRING (-112.1010628 33.6399965, -112.1009876 33.6400286)",,22,21,2,0,
27804,12144,12145,,1,7,1,1800,60,,1,,"LINESTRING (-112.1010628 33.6399965, -112.1009873 33.6399970)",,22,21,1,0,
28002,12144,12344,,1,7.82,1,1800,60,,1,,"LINESTRING (-112.1010628 33.6399965, -112.1009870 33.6399655)",,22,21,2,0,
28201,12145,11947,,1,7.82,1,1800,60,,1,,"LINESTRING (-112.1009873 33.6399970, -112.1009122 33.6400291)",,22,21,2,0,
27805,12145,12146,,1,7,1,1800,60,,1,,"LINESTRING (-112.1009873 33.6399970, -112.1009119 33.6399976)",,22,21,1,0,
28003,12145,12345,,1,7.82,1,1800,60,,1,,"LINESTRING (-112.1009873 33.6399970, -112.1009116 33.6399660)",,22,21,2,0,
28202,12146,11948,,1,7.82,1,1800,60,,1,,"LINESTRING (-112.1009119 33.6399976, -112.1008367 33.6400296)",,22,21,2,0,
27806,12146,12147,,1,7,1,1800,60,,1,,"LINESTRING (-112.1009119 33.6399976, -112.1008364 33.6399981)",,22,21,1,0,
28004,12146,12346,,1,7.82,1,1800,60,,1,,"LINESTRING (-112.1009119 33.6399976, -112.1008361 33.6399665)",,22,21,2,0,
28203,12147,11949,,1,7.82,1,1800,60,,1,,"LINESTRING (-112.1008364 33.6399981, -112.1007613 33.6400302)",,22,21,2,0,
27807,12147,12148,,1,7,1,1800,60,,1,,"LINESTRING (-112.1008364 33.6399981, -112.1007610 33.6399986)",,22,21,1,0,
28005,12147,12347,,1,7.82,1,1800,60,,1,,"LINESTRING (-112.1008364 33.6399981, -112.1007606 33.6399670)",,22,21,2,0,
28204,12148,11950,,1,7.82,1,1800,60,,1,,"LINESTRING (-112.1007610 33.6399986, -112.1006858 33.6400307)",,22,21,2,0,
